,time,maxCapacity,startingCapacity,current,batteryPercentage,remainingCapacity
0,1639505324.789185,18720.000000000004,0.0,0.0,0.0,0.0
1,1639505324.9909728,18720.000000000004,7488.000000000002,1.483142626285553,40.0,7487.700720045559
2,1639505325.1910264,18720.000000000004,7488.000000000002,1.5141212224960328,39.0,7487.400913196339
3,1639505325.390853,18720.000000000004,7488.000000000002,1.5384616374969482,39.0,7487.09591975402
4,1639505325.5907502,18720.000000000004,7488.000000000002,1.4256106257438659,40.0,7486.7996647487
5,1639505325.7909772,18720.000000000004,7488.000000000002,1.436674416065216,40.0,7486.513111343436
6,1639505325.990902,18720.000000000004,7488.000000000002,1.5628021240234375,39.0,7486.213276608602
7,1639505326.19071,18720.000000000004,7488.000000000002,1.5074830293655395,40.0,7485.906542655304
8,1639505326.3906271,18720.000000000004,7488.000000000002,1.405695629119873,39.0,7485.61534557273
9,1639505326.5907333,18720.000000000004,7488.000000000002,1.4189721286296844,40.0,7485.3327288862565
10,1639505326.7907267,18720.000000000004,7488.000000000002,1.438887321949005,40.0,7485.046952412197
11,1639505326.9907193,18720.000000000004,7488.000000000002,1.4543765246868134,39.0,7484.757636650575
12,1639505327.1908803,18720.000000000004,7488.000000000002,1.458801931142807,39.0,7484.46608432293
13,1639505327.3911295,18720.000000000004,7488.000000000002,1.4610147356987,39.0,7484.173738854245
14,1639505327.590963,18720.000000000004,7488.000000000002,1.4034829199314118,40.0,7483.887527711224
15,1639505327.7907097,18720.000000000004,7488.000000000002,1.348163628578186,40.0,7483.612711349952
16,1639505327.9906962,18720.000000000004,7488.000000000002,1.6358236074447632,40.0,7483.314332831189
17,1639505328.193682,18720.000000000004,7488.000000000002,2.8683354377746584,37.0,7482.857192749717
18,1639505328.39075,18720.000000000004,7488.000000000002,5.192295241355896,33.0,7482.062946663115
19,1639505328.5908022,18720.000000000004,7488.000000000002,6.7061056137084964,28.0,7480.872795664348
20,1639505328.7908018,18720.000000000004,7488.000000000002,7.8925642490386965,23.0,7479.412931810608
21,1639505329.0008807,18720.000000000004,7488.000000000002,1.4853552222251891,39.0,7478.427880050732
22,1639505329.2008262,18720.000000000004,7488.000000000002,7.594117307662964,23.0,7477.520180441132
23,1639505329.4009562,18720.000000000004,7488.000000000002,8.824416464567184,18.0,7475.8772599757085
24,1639505329.7064598,18720.000000000004,7488.000000000002,1.6114831209182738,37.0,7474.283157493944
25,1639505329.888013,18720.000000000004,7488.000000000002,1.686717116832733,36.0,7473.983758213295
26,1639505330.000763,18720.000000000004,7488.000000000002,1.7907172322273255,37.0,7473.787717759009
27,1639505330.2470925,18720.000000000004,7488.000000000002,6.208232879638672,25.0,7472.802528884344
28,1639505330.400717,18720.000000000004,7488.000000000002,8.58958625793457,16.0,7471.66587484524
29,1639505330.6010299,18720.000000000004,7488.000000000002,3.227080452442169,28.0,7470.482359735217
30,1639505330.801064,18720.000000000004,7488.000000000002,1.7442492127418519,38.0,7469.985141904272
31,1639505331.002437,18720.000000000004,7488.000000000002,1.6601640224456786,38.0,7469.642363280368
32,1639505331.200913,18720.000000000004,7488.000000000002,1.7199087262153625,36.0,7469.306931895217
33,1639505331.4007735,18720.000000000004,7488.000000000002,1.6955683350563049,38.0,7468.965622294266
34,1639505331.6008167,18720.000000000004,7488.000000000002,1.7442492246627808,37.0,7468.621566235746
35,1639505331.8008833,18720.000000000004,7488.000000000002,1.6668023228645326,38.0,7468.280347550168
36,1639505332.0007179,18720.000000000004,7488.000000000002,1.6136958181858063,37.0,7467.952569057551
37,1639505332.2007236,18720.000000000004,7488.000000000002,1.5517384171485902,37.0,7467.636016502168
38,1639505332.4070718,18720.000000000004,7488.000000000002,1.5229722261428833,37.0,7467.318786028348
39,1639505332.6007357,18720.000000000004,7488.000000000002,1.6313980102539063,37.0,7467.013342309024
40,1639505332.8007314,18720.000000000004,7488.000000000002,1.5074830174446106,38.0,7466.6994608667255
41,1639505333.0008378,18720.000000000004,7488.000000000002,1.4986318230628968,39.0,7466.3986894838645
42,1639505333.2010145,18720.000000000004,7488.000000000002,1.49863201379776,38.0,7466.098698268164
43,1639505333.4008477,18720.000000000004,7488.000000000002,1.438887119293213,39.0,7465.805191410517
44,1639505333.6010776,18720.000000000004,7488.000000000002,1.5384615242481232,38.0,7465.507114324955
45,1639505333.8007889,18720.000000000004,7488.000000000002,1.5229722201824187,38.0,7465.201412833597
46,1639505334.0009928,18720.000000000004,7488.000000000002,1.5473129153251648,39.0,7464.894071311279
47,1639505334.2007546,18720.000000000004,7488.000000000002,1.6026320099830627,38.0,7464.579451870842
48,1639505334.401047,18720.000000000004,7488.000000000002,1.4787169218063354,38.0,7464.270866563236
49,1639505334.601044,18720.000000000004,7488.000000000002,1.4167593121528625,38.0,7463.981323357986
50,1639505334.8007712,18720.000000000004,7488.000000000002,1.4012699365615844,38.0,7463.69990467587
51,1639505335.0008414,18720.000000000004,7488.000000000002,1.4233979105949401,39.0,7463.417338826175
52,1639505335.2011545,18720.000000000004,7488.000000000002,1.4588019371032714,39.0,7463.128667645588
53,1639505335.4008608,18720.000000000004,7488.000000000002,1.3946316301822663,40.0,7462.84374329276
54,1639505335.6008728,18720.000000000004,7488.000000000002,1.5694405078887939,39.0,7462.547318341038
55,1639505335.8009772,18720.000000000004,7488.000000000002,2.047398316860199,38.0,7462.185445523906
56,1639505336.0008793,18720.000000000004,7488.000000000002,3.255570149421692,35.0,7461.655408369881
57,1639505336.2008848,18720.000000000004,7488.000000000002,7.57378740310669,25.0,7460.572442664356
