,time,maxCapacity,startingCapacity,current,batteryPercentage,remainingCapacity
0,1639507690.6385813,18720.000000000004,0.0,0.0,0.0,0.0
1,1639507692.4715407,18720.000000000004,8049.600000000001,2.29965398311615,43.0,8045.38482758379
2,1639507692.6183722,18720.000000000004,8049.600000000001,1.9920791983604431,45.0,8045.0697467467535
3,1639507692.7741747,18720.000000000004,8049.600000000001,2.242121994495392,43.0,8044.739897205792
4,1639507692.9880059,18720.000000000004,8049.600000000001,2.140334701538086,44.0,8044.271344248693
5,1639507693.1654248,18720.000000000004,8049.600000000001,2.087228274345398,45.0,8043.8963193624495
6,1639507693.4494917,18720.000000000004,8049.600000000001,2.339483880996704,45.0,8043.267578128535
7,1639507693.6279733,18720.000000000004,8049.600000000001,2.0584622979164124,44.0,8042.875101939731
8,1639507693.7881107,18720.000000000004,8049.600000000001,2.5496968984603883,42.0,8042.506132589079
9,1639507694.220614,18720.000000000004,8049.600000000001,2.3748880982398988,43.0,8041.441183146542
10,1639507694.2654228,18720.000000000004,8049.600000000001,2.4788883209228514,43.0,8041.332437041376
11,1639507694.3699627,18720.000000000004,8049.600000000001,2.6736117362976075,42.0,8041.063116195165
12,1639507694.5807786,18720.000000000004,8049.600000000001,2.4191435813903808,43.0,8040.526299280662
13,1639507694.9687061,18720.000000000004,8049.600000000001,2.456760513782501,42.0,8039.58055055923
14,1639507695.0008607,18720.000000000004,8049.600000000001,2.321781778335571,43.0,8039.503724596595
15,1639507695.2179508,18720.000000000004,8049.600000000001,2.237696576118469,43.0,8039.008815722582
16,1639507695.7695916,18720.000000000004,8049.600000000001,2.4855265259742736,43.0,8037.706054557769
17,1639507695.8086443,18720.000000000004,8049.600000000001,2.067313289642334,44.0,8037.617154157493
18,1639507696.0996814,18720.000000000004,8049.600000000001,2.3262070417404175,43.0,8036.97781548754
19,1639507696.1376984,18720.000000000004,8049.600000000001,2.79310142993927,42.0,8036.88050502407
20,1639507696.2192786,18720.000000000004,8049.600000000001,1.994292187690735,44.0,8036.685226850512
21,1639507696.5545425,18720.000000000004,8049.600000000001,2.29965398311615,42.0,8035.965424135754
22,1639507696.5907648,18720.000000000004,8049.600000000001,2.060675024986267,44.0,8035.886453738613
23,1639507696.9424472,18720.000000000004,8049.600000000001,2.2797390937805178,43.0,8035.123230058204
24,1639507696.9778028,18720.000000000004,8049.600000000001,1.950036609172821,44.0,8035.048456997102
25,1639507697.186417,18720.000000000004,8049.600000000001,2.1558241128921507,44.0,8034.620186265543
26,1639507697.430715,18720.000000000004,8049.600000000001,2.4456966876983643,42.0,8034.058115144383
27,1639507697.8952632,18720.000000000004,8049.600000000001,2.2509731888771056,43.0,8032.967200584895
28,1639507697.9771566,18720.000000000004,8049.600000000001,2.5275692105293275,42.0,8032.771534937555
29,1639507698.770444,18720.000000000004,8049.600000000001,2.2576112031936644,43.0,8030.873523566846
30,1639507698.839238,18720.000000000004,8049.600000000001,2.2222071051597596,43.0,8030.719431229459
31,1639507698.9248083,18720.000000000004,8049.600000000001,2.5895264863967897,40.0,8030.513560400845
32,1639507699.018747,18720.000000000004,8049.600000000001,2.7820374727249146,42.0,8030.261261190724
33,1639507699.0752487,18720.000000000004,8049.600000000001,4.346741211414337,41.0,8030.059867393748
34,1639507699.124424,18720.000000000004,8049.600000000001,7.4346595287323,39.0,8029.770190657029
35,1639507699.2607913,18720.000000000004,8049.600000000001,9.32671480178833,37.0,8028.627338800043
36,1639507699.4422753,18720.000000000004,8049.600000000001,9.988470935821534,34.0,8026.8746403704245
37,1639507699.5911179,18720.000000000004,8049.600000000001,13.97034773826599,31.0,8025.091594259691
38,1639507699.772768,18720.000000000004,8049.600000000001,8.195851796865464,36.0,8023.078347394297
39,1639507700.2454977,18720.000000000004,8049.600000000001,2.0621653333306313,42.0,8020.6537128016125
40,1639507700.5828764,18720.000000000004,8049.600000000001,2.3837393045425417,42.0,8019.903735948479
41,1639507700.629431,18720.000000000004,8049.600000000001,2.4567605018615724,42.0,8019.791062266005
42,1639507701.1367967,18720.000000000004,8049.600000000001,2.2908029079437258,42.0,8018.586686841145
43,1639507701.2379591,18720.000000000004,8049.600000000001,2.40586678981781,42.0,8018.349123572867
44,1639507701.2759418,18720.000000000004,8049.600000000001,2.33063280582428,42.0,8018.25917104593
45,1639507701.3101864,18720.000000000004,8049.600000000001,2.3306326389312746,42.0,8018.179359606611
46,1639507701.385302,18720.000000000004,8049.600000000001,2.5342076063156127,41.0,8017.9966467133645
47,1639507701.9389677,18720.000000000004,8049.600000000001,2.295228385925293,42.0,8016.659700333525
48,1639507701.9729657,18720.000000000004,8049.600000000001,2.618292713165283,42.0,8016.576175357547
49,1639507702.3005474,18720.000000000004,8049.600000000001,2.6050159692764283,41.0,8015.720645334738
50,1639507702.837714,18720.000000000004,8049.600000000001,3.0033143281936647,40.0,8014.214341488687
51,1639507702.8756618,18720.000000000004,8049.600000000001,2.525356388092041,41.0,8014.1094407859055
52,1639507702.9082582,18720.000000000004,8049.600000000001,2.3527604818344114,42.0,8014.029936384181
53,1639507702.9571786,18720.000000000004,8049.600000000001,2.4279945135116576,42.0,8013.9129981776005
54,1639507703.0265296,18720.000000000004,8049.600000000001,2.2177816152572634,43.0,8013.751903665309
55,1639507703.1814299,18720.000000000004,8049.600000000001,2.3040796160697936,42.0,8013.401684806575
56,1639507703.3873138,18720.000000000004,8049.600000000001,2.182377314567566,43.0,8012.93984000254
57,1639507704.0998344,18720.000000000004,8049.600000000001,2.0960795164108275,43.0,8011.415595689757
